request-method;request-path;response-status;tiempo;;;;
GET;/authenticated/system/sign-out;302;3,4843;;;;
GET;/authenticated/system/sign-out;302;3,2962;;;;
GET;/authenticated/system/sign-out;302;3,0857;;;;
GET;/authenticated/system/sign-out;302;3,2285;;;;
GET;/authenticated/system/sign-out;302;2,8375;;;;
GET;/authenticated/system/sign-out;302;2,7653;;;;
GET;/authenticated/system/sign-out;302;3,0416;;;;
GET;/authenticated/system/sign-out;302;2,5036;;;;
GET;/authenticated/system/sign-out;302;1,9565;;;;
GET;/authenticated/system/sign-out;302;3,1437;;;;
GET;/authenticated/system/sign-out;302;3,2777;;;;
GET;/authenticated/system/sign-out;302;2,626;;;;
GET;/authenticated/system/sign-out;302;2,7003;;;;
GET;/authenticated/system/sign-out;302;1,695;;;;
GET;/authenticated/system/sign-out;302;1,7253;;;;
GET;/authenticated/system/sign-out;302;1,9074;;;;
GET;/authenticated/system/sign-out;302;1,7471;;;;
GET;/authenticated/system/sign-out;302;1,6435;;;;
GET;/authenticated/system/sign-out;302;1,9438;;;;
GET;/authenticated/system/sign-out;302;3,0686;;;;
GET;/authenticated/system/sign-out;302;2,8763;;;;
GET;/authenticated/system/sign-out;302;2,4205;;;;
GET;/authenticated/system/sign-out;302;3,3349;;;;
GET;/authenticated/system/sign-out;302;3,3678;;;;
GET;/authenticated/system/sign-out;302;3,218;;;;
GET;/authenticated/system/sign-out;302;3,0202;;;;
GET;/authenticated/system/sign-out;302;2,996;;;;
GET;/authenticated/system/sign-out;302;3,0432;;;;
GET;/flight-crew-member/activity-log/create;200;20,0353;;;;
POST;/flight-crew-member/activity-log/create;200;45,1605;;;;
GET;/flight-crew-member/activity-log/create;200;26,2589;;;;
POST;/flight-crew-member/activity-log/create;200;53,1344;;;;
GET;/flight-crew-member/activity-log/create;200;26,3819;;;;
POST;/flight-crew-member/activity-log/create;200;51,0466;;;;
GET;/flight-crew-member/activity-log/create;200;21,8237;;;;
POST;/flight-crew-member/activity-log/create;200;47,6755;;;;
GET;/flight-crew-member/activity-log/create;200;18,8857;;;;
POST;/flight-crew-member/activity-log/create;200;48,8093;;;;
POST;/flight-crew-member/activity-log/create;200;40,2755;;;;
POST;/flight-crew-member/activity-log/create;200;43,4588;;;;
POST;/flight-crew-member/activity-log/create;200;60,6325;;;;
POST;/flight-crew-member/activity-log/create;200;55,619;;;;
POST;/flight-crew-member/activity-log/create;200;50,5908;;;;
POST;/flight-crew-member/activity-log/create;200;60,6901;;;;
GET;/flight-crew-member/activity-log/create;200;10,5865;;;;
POST;/flight-crew-member/activity-log/create;200;30,7246;;;;
POST;/flight-crew-member/activity-log/create;200;21,5657;;;;
GET;/flight-crew-member/activity-log/create;200;10,298;;;;
POST;/flight-crew-member/activity-log/create;500;29,2331;;;;
GET;/flight-crew-member/activity-log/create;500;33,7345;;;;
GET;/flight-crew-member/activity-log/create;500;28,5905;;;;
GET;/flight-crew-member/activity-log/create;500;20,1148;;;;
GET;/flight-crew-member/activity-log/create;500;30,3589;;;;
GET;/flight-crew-member/activity-log/create;500;26,5774;;;;
GET;/flight-crew-member/activity-log/create;200;17,1031;;;;
POST;/flight-crew-member/activity-log/create;200;18,8604;;;;
GET;/flight-crew-member/activity-log/create;200;12,0426;;;;
POST;/flight-crew-member/activity-log/delete;200;28,1214;;;;
POST;/flight-crew-member/activity-log/delete;200;52,1849;;;;
GET;/flight-crew-member/activity-log/delete;500;10,0207;;;;
GET;/flight-crew-member/activity-log/delete;500;13,6099;;;;
GET;/flight-crew-member/activity-log/delete;500;12,6545;;;;
GET;/flight-crew-member/activity-log/delete;500;13,7809;;;;
GET;/flight-crew-member/activity-log/delete;500;10,0247;;;;
POST;/flight-crew-member/activity-log/delete;500;13,8599;;;;
GET;/flight-crew-member/activity-log/delete;500;12,9457;;;;
GET;/flight-crew-member/activity-log/list;200;24,3137;;;;
GET;/flight-crew-member/activity-log/list;200;15,7848;;;;
GET;/flight-crew-member/activity-log/list;200;15,0312;;;;
GET;/flight-crew-member/activity-log/list;200;13,5094;;;;
GET;/flight-crew-member/activity-log/list;200;16,5929;;;;
GET;/flight-crew-member/activity-log/list;200;11,1849;;;;
GET;/flight-crew-member/activity-log/list;200;16,486;;;;
GET;/flight-crew-member/activity-log/list;200;13,8163;;;;
GET;/flight-crew-member/activity-log/list;200;10,6754;;;;
GET;/flight-crew-member/activity-log/list;200;14,8099;;;;
GET;/flight-crew-member/activity-log/list;200;7,9504;;;;
GET;/flight-crew-member/activity-log/list;200;8,1743;;;;
GET;/flight-crew-member/activity-log/list;200;9,5361;;;;
GET;/flight-crew-member/activity-log/list;200;9,9438;;;;
GET;/flight-crew-member/activity-log/list;200;8,0228;;;;
GET;/flight-crew-member/activity-log/list;200;6,5318;;;;
GET;/flight-crew-member/activity-log/list;200;5,261;;;;
GET;/flight-crew-member/activity-log/list;200;4,9518;;;;
GET;/flight-crew-member/activity-log/list;200;5,6588;;;;
GET;/flight-crew-member/activity-log/list;500;10,7953;;;;
GET;/flight-crew-member/activity-log/list;500;10,9965;;;;
GET;/flight-crew-member/activity-log/list;500;12,4005;;;;
GET;/flight-crew-member/activity-log/list;200;5,4492;;;;
GET;/flight-crew-member/activity-log/list;200;5,41;;;;
GET;/flight-crew-member/activity-log/list;200;7,8219;;;;
GET;/flight-crew-member/activity-log/list;500;20,169;;;;
GET;/flight-crew-member/activity-log/list;200;7,887;;;;
GET;/flight-crew-member/activity-log/list;200;6,7054;;;;
GET;/flight-crew-member/activity-log/list;200;7,5244;;;;
GET;/flight-crew-member/activity-log/list;200;10,9964;;;;
GET;/flight-crew-member/activity-log/list;200;7,3942;;;;
GET;/flight-crew-member/activity-log/list;200;17,1568;;;;
GET;/flight-crew-member/activity-log/list;200;9,7701;;;;
GET;/flight-crew-member/activity-log/list;200;8,4038;;;;
GET;/flight-crew-member/activity-log/list;200;8,5209;;;;
POST;/flight-crew-member/activity-log/publish;200;28,5691;;;;
POST;/flight-crew-member/activity-log/publish;200;43,664;;;;
POST;/flight-crew-member/activity-log/publish;200;10,1079;;;;
GET;/flight-crew-member/activity-log/publish;500;9,8964;;;;
GET;/flight-crew-member/activity-log/publish;500;18,3862;;;;
GET;/flight-crew-member/activity-log/publish;500;13,0929;;;;
GET;/flight-crew-member/activity-log/publish;500;10,3848;;;;
GET;/flight-crew-member/activity-log/publish;500;13,8616;;;;
POST;/flight-crew-member/activity-log/publish;500;14,101;;;;
POST;/flight-crew-member/activity-log/publish;200;23,7281;;;;
GET;/flight-crew-member/activity-log/show;200;14,1153;;;;
GET;/flight-crew-member/activity-log/show;200;15,6813;;;;
GET;/flight-crew-member/activity-log/show;200;11,363;;;;
GET;/flight-crew-member/activity-log/show;200;12,0949;;;;
GET;/flight-crew-member/activity-log/show;200;7,312;;;;
GET;/flight-crew-member/activity-log/show;200;6,5813;;;;
GET;/flight-crew-member/activity-log/show;200;6,6857;;;;
GET;/flight-crew-member/activity-log/show;200;6,0582;;;;
GET;/flight-crew-member/activity-log/show;200;6,2405;;;;
GET;/flight-crew-member/activity-log/show;200;6,3547;;;;
GET;/flight-crew-member/activity-log/show;200;6,5823;;;;
GET;/flight-crew-member/activity-log/show;200;6,3429;;;;
GET;/flight-crew-member/activity-log/show;200;9,4588;;;;
GET;/flight-crew-member/activity-log/show;500;18,905;;;;
GET;/flight-crew-member/activity-log/show;500;31,1271;;;;
GET;/flight-crew-member/activity-log/show;500;27,5663;;;;
GET;/flight-crew-member/activity-log/show;200;11,0503;;;;
GET;/flight-crew-member/activity-log/show;200;10,6575;;;;
GET;/flight-crew-member/activity-log/show;200;13,8356;;;;
GET;/flight-crew-member/activity-log/show;200;10,6817;;;;
GET;/flight-crew-member/activity-log/show;200;10,7958;;;;
GET;/flight-crew-member/activity-log/show;200;12,7887;;;;
GET;/flight-crew-member/activity-log/show;200;9,8029;;;;
POST;/flight-crew-member/activity-log/update;200;29,5127;;;;
POST;/flight-crew-member/activity-log/update;200;26,5902;;;;
POST;/flight-crew-member/activity-log/update;200;30,1139;;;;
POST;/flight-crew-member/activity-log/update;200;26,2029;;;;
POST;/flight-crew-member/activity-log/update;200;16,0235;;;;
GET;/flight-crew-member/activity-log/update;500;12,97;;;;
GET;/flight-crew-member/activity-log/update;500;23,8574;;;;
GET;/flight-crew-member/activity-log/update;500;24,4419;;;;
POST;/flight-crew-member/activity-log/update;500;32,1379;;;;
POST;/flight-crew-member/activity-log/update;500;25,8868;;;;
GET;/flight-crew-member/activity-log/update;500;23,569;;;;
GET;/flight-crew-member/activity-log/update;500;18,6535;;;;
GET;/flight-crew-member/activity-log/update;500;18,8706;;;;
GET;/flight-crew-member/activity-log/update;500;22,4161;;;;
GET;/flight-crew-member/activity-log/update;500;23,0763;;;;
GET;/flight-crew-member/activity-log/update;500;24,9477;;;;
GET;/flight-crew-member/activity-log/update;500;24,0112;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;37,6388;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;16,8217;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;34,5363;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;16,1641;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;15,2962;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;12,0086;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;8,4288;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,7154;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;12,2185;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;9,1149;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;9,0116;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;8,4568;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;10,25;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,8185;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;7,1969;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;8,4876;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;5,2439;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;4,6889;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;4,265;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;5,1296;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;5,1942;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;10,0729;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,1687;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,0674;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,7591;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;3,9688;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;8,1009;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;5,7681;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,7071;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;7,9822;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;9,18;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;6,9444;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;8,0105;;;;
GET;/flight-crew-member/flight-assignment/completed-list;200;10,3259;;;;
GET;/flight-crew-member/flight-assignment/create;200;73,4582;;;;
POST;/flight-crew-member/flight-assignment/create;200;84,4126;;;;
POST;/flight-crew-member/flight-assignment/create;200;75,4678;;;;
POST;/flight-crew-member/flight-assignment/create;200;96,4393;;;;
POST;/flight-crew-member/flight-assignment/create;200;100,9237;;;;
POST;/flight-crew-member/flight-assignment/create;200;102,0513;;;;
POST;/flight-crew-member/flight-assignment/create;200;90,5824;;;;
POST;/flight-crew-member/flight-assignment/create;200;121,2022;;;;
POST;/flight-crew-member/flight-assignment/create;200;84,148;;;;
POST;/flight-crew-member/flight-assignment/create;200;29,8934;;;;
GET;/flight-crew-member/flight-assignment/create;200;38,9726;;;;
POST;/flight-crew-member/flight-assignment/create;200;22,5712;;;;
GET;/flight-crew-member/flight-assignment/create;200;21,3008;;;;
POST;/flight-crew-member/flight-assignment/create;200;25,0721;;;;
GET;/flight-crew-member/flight-assignment/create;200;25,2634;;;;
POST;/flight-crew-member/flight-assignment/create;500;10,4682;;;;
GET;/flight-crew-member/flight-assignment/create;200;20,6787;;;;
POST;/flight-crew-member/flight-assignment/create;500;10,1928;;;;
GET;/flight-crew-member/flight-assignment/create;200;21,613;;;;
POST;/flight-crew-member/flight-assignment/create;500;9,9329;;;;
GET;/flight-crew-member/flight-assignment/create;200;21,2858;;;;
POST;/flight-crew-member/flight-assignment/create;500;10,541;;;;
GET;/flight-crew-member/flight-assignment/create;200;21,3253;;;;
POST;/flight-crew-member/flight-assignment/create;500;11,8778;;;;
GET;/flight-crew-member/flight-assignment/create;200;38,322;;;;
POST;/flight-crew-member/flight-assignment/create;200;23,0474;;;;
POST;/flight-crew-member/flight-assignment/delete;200;142,4842;;;;
POST;/flight-crew-member/flight-assignment/delete;200;45,9407;;;;
GET;/flight-crew-member/flight-assignment/delete;500;9,929;;;;
GET;/flight-crew-member/flight-assignment/delete;500;12,0432;;;;
GET;/flight-crew-member/flight-assignment/delete;500;10,3354;;;;
GET;/flight-crew-member/flight-assignment/delete;500;12,6421;;;;
GET;/flight-crew-member/flight-assignment/delete;200;21,3125;;;;
POST;/flight-crew-member/flight-assignment/delete;500;12,5867;;;;
GET;/flight-crew-member/flight-assignment/delete;200;20,4113;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;13,3005;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;9,9732;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;12,6367;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;5,7189;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;8,2424;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;7,1686;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;10,9994;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;11,2634;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;4,5711;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;4,9331;;;;
GET;/flight-crew-member/flight-assignment/planned-list;200;6,058;;;;
